,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
74,"('Plan de Prevención y Reducción del Riesgo de Desastres de la provincia de Ocros 2022-2024 (inundación pluvial y movimientos en masa) (PROVINCIA OCROS, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14516/descargar')"
75,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Pisac con perspectiva al 2025 (DISTRITO PISAC, CALCA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14515/descargar')"
76,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Colta 2022-2025 (DISTRITO COLTA, PAUCAR DEL SARA SARA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14514/descargar')"
77,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Cascapara 2022-2024 (inundación pluvial y movimientos en masa) (DISTRITO CASCAPARA, YUNGAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14513/descargar')"
78,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Colquioc 2022-2023 (movimientos en masa e inundación) (DISTRITO COLQUIOC, BOLOGNESI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14512/descargar')"
79,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito San José de Quero 2022-2024 (DISTRITO SAN JOSE DE QUERO, CONCEPCION, JUNIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14426/descargar')"
80,"('Plan de Prevención y Reducción del Riesgo de Desastres de la Municipalidad Distrital de Puinahua (DISTRITO PUINAHUA, REQUENA, LORETO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14421/descargar')"
81,"('Plan de Prevención y Reducción del Riesgo de Desastres en el distrito de Miraflores, Arequipa (DISTRITO MIRAFLORES, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14422/descargar')"
82,"('Plan de Prevención y Reducción del Riesgo de Desastres 2022- 2026, distrito Dean Valdivia (DISTRITO DEAN VALDIVIA, ISLAY, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14424/descargar')"
83,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Belén (DISTRITO BELEN, SUCRE, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14425/descargar')"
84,"('Plan de Prevención y Reducción del Riesgo de Desastres en el distrito de Ascensión 2022 - 2025 (DISTRITO ASCENSION, HUANCAVELICA, HUANCAVELICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14423/descargar')"
85,"('Plan de Prevención y Reducción del Riesgo de Desastres del Seguro Integral de Salud 2023-2025 (DISTRITO LIMA, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14535/descargar')"
86,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de origen natural del distrito de Chicama, provincia de Ascope, región La Libertad 2022-2024 (DISTRITO CHICAMA, ASCOPE, LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14527/descargar')"
87,"('Plan de prevención y reducción del riesgo de desastres por flujo de lodos en el campus de la universidad nacional de Jaén, distrito de Jaén, provincia de Jaén, departamento de Cajamarca 2022 -2024 (DISTRITO JAEN, JAEN, CAJAMARCA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14345/descargar')"
88,"('Plan de prevención y reducción del riesgo de desastres del distrito de Shupluy 2022- 2023 (DISTRITO SHUPLUY, YUNGAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14082/descargar')"
89,"('Plan de prevención y reducción del riesgo de desastres de la región Puno al 2026 (DEPARTAMENTO PUNO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14368/descargar')"
90,"('Plan de prevención y reducción del riesgo de desastres del distrito de Llochegua 2022 - 2026 (DISTRITO LLOCHEGUA, HUANTA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14367/descargar')"
91,"('Plan de prevención y reducción del riesgo de desastres de la municipalidad provincia de Huancavelica 2022 - 2025 (DISTRITO HUANCAVELICA, HUANCAVELICA, HUANCAVELICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14366/descargar')"
92,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Chumbivilcas 2022 - 2025. (PROVINCIA CHUMBIVILCAS, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14050/descargar')"
93,"('Plan de prevención y reducción del riesgo ante covid-19 y sus variantes del distrito de Independencia, provincia de Huaraz, departamento de Ancash. (DISTRITO INDEPENDENCIA, HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14048/descargar')"
94,"('Plan de prevención y reducción del riesgo del desastres del distrito de Lurigancho-Chosica, periodo 2022-2025 (DISTRITO LURIGANCHO, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14006/descargar')"
95,"('Plan de prevención y reducción del riesgo del desastres del distrito de San Sebastián al 2024 (DISTRITO SAN SEBASTIAN, CUSCO, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14000/descargar')"
